LEMMA,USES_TOT,USERS_TOT,AGE,COEF_VAR,SUBSET,START,END,USES,EDGES,NODES,COMMUNITIES,MODULARITY,DENSITY,CENT_DEGREE,CENT_EV,SUBSETTING,DIFF_START_METHOD,DIFF_START_LIMIT,SKIP,STAMP
alt-left,167124,78383,1115,5.311262054364172,one,2016-01-11,2016-10-08,2154,1628,2499,NA,NA,2.607928679878677e-4,0.0049453493940067985,0.992408926216521,time,edges,3,FALSE,2020-03-15T15:06:54Z
alt-left,167124,78383,1115,5.311262054364172,two,2016-10-09,2017-07-06,41559,37197,32791,NA,NA,3.4594880666355604e-5,0.014985685242183177,0.9962459952165371,time,edges,3,FALSE,2020-03-15T15:06:55Z
alt-left,167124,78383,1115,5.311262054364172,three,2017-07-07,2018-04-03,101573,92999,83332,NA,NA,1.3392445261591693e-5,0.024413584469590046,0.9990378576707285,time,edges,3,FALSE,2020-03-15T15:06:56Z
alt-left,167124,78383,1115,5.311262054364172,four,2018-04-04,2018-12-30,21833,32836,26367,NA,NA,4.723297274851088e-5,0.023848080960972722,0.9980498632602286,time,edges,3,FALSE,2020-03-15T15:06:57Z
alt-left,167124,78383,1115,5.311262054364172,full,2015-12-11,2018-12-30,167124,162053,125551,NA,NA,1.0280640721442614e-5,0.02035626938801016,0.9991014165372906,time,edges,3,FALSE,2020-03-15T15:07:00Z
alt-right,1012150,357518,2478,1.8054939525051652,one,2014-05-26,2015-07-20,905,159,220,NA,NA,0.0033001245330012453,0.019620108004420257,0.9605238463145411,time,edges,3,FALSE,2020-03-15T15:07:56Z
alt-right,1012150,357518,2478,1.8054939525051652,two,2015-07-21,2016-09-12,24834,14548,15222,NA,NA,6.278969721718634e-5,0.012059413746808238,0.9973928523935545,time,edges,3,FALSE,2020-03-15T15:07:56Z
alt-right,1012150,357518,2478,1.8054939525051652,three,2016-09-13,2017-11-05,590100,416937,335821,NA,NA,3.6970560034386897e-6,0.018790653460932737,0.9995940215056355,time,edges,3,FALSE,2020-03-15T15:08:05Z
alt-right,1012150,357518,2478,1.8054939525051652,four,2017-11-06,2018-12-30,396244,424484,274686,NA,NA,5.625872116023248e-6,0.014425502239902192,0.9994572961610291,time,edges,3,FALSE,2020-03-15T15:08:12Z
alt-right,1012150,357518,2478,1.8054939525051652,full,2012-03-18,2018-12-30,1012150,847342,530249,NA,NA,3.0136987380330727e-6,0.017217262883597807,0.999653527296392,time,edges,3,FALSE,2020-03-15T15:08:30Z
animoji,11139,9203,309,1.5308599262970197,one,2018-02-19,2018-05-09,2355,789,2425,NA,NA,1.342247626824538e-4,0.010183505974359812,0.9974459536995134,time,edges,3,FALSE,2020-03-15T15:08:58Z
animoji,11139,9203,309,1.5308599262970197,two,2018-05-10,2018-07-27,2983,986,3114,NA,NA,1.0171363752932005e-4,0.01757177371579077,0.9969364363029474,time,edges,3,FALSE,2020-03-15T15:08:58Z
animoji,11139,9203,309,1.5308599262970197,three,2018-07-28,2018-10-13,3302,1082,3605,NA,NA,8.327932748479498e-5,0.010185916868789273,0.9978700123182644,time,edges,3,FALSE,2020-03-15T15:08:58Z
