Source,Target,DATE,WEIGHT
darren_lav89,fa,2016-11-02,1
darren_lav89,fifacom,2016-11-02,1
mrcjross,richard_conway,2016-11-02,1
yachtshimmer,fifacom,2016-11-02,1
nicolajr20,tonguetweets,2016-11-02,1
simonbglover,england,2016-11-02,1
simonbglover,scotlandfa,2016-11-02,1
simonbglover,fifa,2016-11-02,1
sgreen1157,fifacom,2016-11-02,1
outdoorlife99,fifacom,2016-11-02,1
outdoorlife99,fifamedia,2016-11-02,1
outdoorlife99,fifaworldcup,2016-11-02,1
barisagun,fifacom,2016-11-02,2
motivationang3l,theresa_may,2016-11-02,1
obsidiandev,fifacom,2016-11-02,1
tomosull2000,donalogc,2016-11-02,1
dscott_aberdeen,fifacom,2016-11-02,1
golden_rivet,5livesport,2016-11-02,1
mozzer2017,fatma_samoura,2016-11-02,2
a_wildthing,fifacom,2016-11-02,3
jdperry2187,fa,2016-12-19,1
jdperry2187,fifacom,2016-11-02,4
jdperry2187,bbcsport,2016-11-02,4
fredjasper1885,fifacom,2016-11-02,1
jimmyeatworld64,fifacom,2016-11-02,1
cathrineharry,fifacom,2016-11-02,1
lrboylin,fifacom,2016-11-02,1
iansonpj,fa,2016-11-02,1
iansonpj,fifacom,2016-11-02,1
quinnloveslolly,fifacom,2016-11-02,1
stevehutton79,holtchris,2016-11-02,1
tomholohan,daveyhannigan,2016-11-02,1
ayrdelighted,stvaberdeen,2016-11-02,1
mattcooper85,fifacom,2016-11-02,1
mattcooper85,helpforheroes,2016-11-02,1
therealg_jones,garylineker,2016-11-02,1
johnleonard1908,danroan,2016-11-02,1
johnleonard1908,allblacks,2016-11-10,1
73mr_b,fifacom,2016-11-02,1
73mr_b,england,2016-11-02,1
73mr_b,fatma_samoura,2016-11-02,1
73mr_b,scottishfa,2016-11-02,1
aliciabuttie,fa,2016-11-02,1
aliciabuttie,fifacom,2016-11-02,1
interioragent,fa,2016-11-02,1
andyhersh,fifacom,2016-11-02,1
mrjchughes,fa,2016-11-02,1
monaoeda,fifacom,2016-11-02,1
monaoeda,fifamedia,2016-11-02,1
monaoeda,afp,2016-11-02,1
monaoeda,yahoosports,2016-11-02,1
dgb259,fifacom,2016-11-02,1
dgb259,garylineker,2016-11-02,1
houseoftraitors,fifacom,2016-11-02,1
houseoftraitors,holbornlolz,2016-11-02,1
scottishfsa,fifacom,2016-11-02,1
scottishfsa,martin1williams,2016-11-02,1
tjames63,fifa,2016-11-02,1
tjames63,luvbbrown,2016-11-02,1
tjames63,littleanniebets,2016-11-02,1
fandangogroover,fifacom,2016-11-02,1
legendoftelfer,jfblucas,2016-11-03,1
elgoldave,jamieholepunch,2016-11-03,1
elgoldave,mrmalky,2016-11-03,1
alexeptable,tighe_er,2016-11-03,1
mylesburrell,independent,2016-11-03,1
capitalbrighton,mikewardontv,2016-11-03,1
guy_lloyd,mikewardontv,2016-11-03,1
adamtrace,fifacom,2016-11-03,1
mwana_mwa,england,2016-11-03,1
fredj1958,garylineker,2016-11-03,2
fredj1958,huntkavan,2016-11-03,1
fredj1958,dazdrewett,2016-11-03,1
metrokid,fa,2016-11-03,1
metrokid,fifacom,2016-11-03,1
metrokid,scotishfa,2016-11-03,1
glynnbell65,xbladessports,2016-11-03,1
doodiggory,mikeydouk,2016-11-03,1
londonlovesprop,britisharmy,2016-11-03,1
londonlovesprop,londonwaterloo,2016-11-03,1
londonlovesprop,poppylegion,2016-11-03,1
londonlovesprop,taxicharity,2016-11-03,1
mcnallydavidj,stewartmregan,2016-11-03,1
leoroberts,tonybarrett,2016-11-03,1
bouwepostma,garylineker,2016-11-03,1
carlralley,fifacom,2016-11-03,1
carlralley,farehamshopping,2016-11-03,1
rachcsteele,leftfootfwd,2016-11-03,1
rmgluck2017,england,2016-11-03,1
rmgluck2017,haveigotnews,2016-11-03,1
theshaunsutton,fifacom,2016-11-03,1
richierichafc,fa,2016-11-03,1
gilliankidney,scootbenet,2016-11-03,1
leabasra,openmike_tv,2016-11-03,1
leabasra,thelastleg,2016-11-03,1
rightcasino,england,2016-11-03,2
rightcasino,scotlandfa,2016-11-11,1
rightcasino,haveigotnews,2016-11-03,1
bfbssitrep,madelinecarr,2016-11-03,1
gb_stamp,thejeremyvine,2016-11-03,1
wellardonly,fifacom,2016-11-03,1
wellardonly,garylineker,2016-11-03,1
wellardonly,footballassoc,2016-11-03,1
retrofootball99,petemckee,2016-11-03,1
truck3517,fifacom,2016-11-03,1
baxtinho,fa,2016-11-03,1
emdowningsmith,fifacom,2016-11-03,1
danderson_96,inreview10,2016-11-03,1
danderson_96,forgeradio,2016-11-03,1
lfc_49er,fa,2016-11-03,1
lfc_49er,fifacom,2016-11-03,1
johnthegasrobb,angelahaggerty,2016-11-03,1
mbutler27,jurassicarse,2016-11-03,1
mbutler27,peerlesslynch,2016-11-03,1
goodhandwill,fifa,2016-11-03,1
goodhandwill,garylineker,2016-11-03,1
philipoconnor,nordstrom1,2016-11-03,1
busterprimrose,mrjamesob,2016-11-03,1
dorsetlondoner,fa,2016-11-03,1
dorsetlondoner,fifacom,2016-11-03,1
dorsetlondoner,bbcsport,2016-11-03,1
dorsetlondoner,poppylegion,2016-11-03,1
gswagsta,fifacom,2016-11-03,1
celticsleftwing,bellacaledonia,2016-11-03,1
gnomerossco,fa,2016-11-03,1
gnomerossco,scottishfa,2016-11-03,1
sampatton89,fifacom,2016-11-03,1
sampatton89,england,2016-11-03,1
leitrimannals,suemoorcroft,2016-11-03,1
leitrimannals,jimdavisonair,2016-11-03,1
gavhollander,andrewrosindell,2016-11-03,1
gavhollander,thedailymash,2016-11-03,1
woozie2k,iandunt,2016-11-03,1
kingjah7777,fifacom,2016-11-03,1
socialistdawn,thesun,2016-11-03,1
socialistdawn,dailymailuk,2016-11-03,1
craigmcaulay,scottishfa,2016-11-03,1
craigmcaulay,bbcradio4,2016-11-03,1
spearcoach,fifacom,2016-11-03,1
spearcoach,poppylegion,2016-11-03,1
martinpatience,bbcsport,2016-11-03,1
janehanflondon,bbcbreakfast,2016-11-03,1
misslauramarcus,fubsy,2016-11-03,1
misslauramarcus,kevin_maguire,2016-11-03,1
yipeena,bbcsport,2016-11-03,1
yipeena,sirrogermoore,2016-11-03,1
yipeena,davidwalliams,2016-11-03,1
colonelstewart,fifacom,2016-11-03,1
beansjust,fa,2016-11-03,2
beansjust,scottishfa,2016-11-03,1
beansjust,poppylegion,2016-11-03,1
beansjust,nike,2016-11-03,1
rcfoster,susan1878,2016-11-03,1
rcfoster,wordpressdotcom,2016-11-03,1
borehamhouse,fifacom,2016-11-03,1
borehamhouse,teresamaymp,2016-11-03,1
pguppy,england,2016-11-03,1
pguppy,scottishfa,2016-11-03,1
pguppy,bbcbreakfast,2016-11-03,1
crowsunofficial,grndhoppinggrl,2016-11-03,1
jc_kemp,fa,2016-11-03,1
theedgepics,fifacom,2016-11-03,1
jasonmaguire1,fifacom,2016-11-03,1
johnspicer01,fa,2016-11-03,1
johnspicer01,fifacom,2016-11-03,1
thebaddison,fa,2016-11-12,1
thebaddison,bbcsport,2016-11-03,1
thebaddison,bbcr4today,2016-11-03,1
thebaddison,petermartindup,2016-11-03,1
ballcock83,poppylegion,2016-11-03,1
wild3j,england,2016-11-03,1
wild3j,scottishfa,2016-11-03,1
wild3j,beverleysisters,2016-11-03,1
angusirvine1,fa,2016-11-03,1
angusirvine1,fifacom,2016-11-03,1
angusirvine1,scottishfa,2016-11-03,1
angusirvine1,fawales,2016-11-03,1
staybehinds,fifacom,2016-11-03,1
nicholasmith6,nickdixonitv,2016-11-03,1
nicholasmith6,gmb,2016-11-03,1
nicholasmith6,susannareid100,2016-11-03,1
nicholasmith6,benshephard,2016-11-03,1
paul_framp,fa,2016-11-03,1
jmoorhouse84,fifacom,2016-11-03,1
buntingsworld,fa,2016-11-03,1
jibbajabbasteve,fifacom,2016-11-03,1
dandkpictures,tracey_crouch,2016-11-03,1
yogajapa,wardiaryf82,2016-11-03,1
yogajapa,illustriousasso,2016-11-03,1
cdsl_interprete,mrjamesob,2016-11-03,2
