lemma;first;last;full;uses
tweeter;0,0188;0,0107;0,0019;7482342
bromosexual;0,0045;0,0038;0,0024;20374
man bun;0,005;0,0159;0,0024;549700
baecation;0,0121;0,0063;0,0027;324968
slut shaming;0,0109;0,0176;0,0038;261923
ghosting;0,0033;0,0118;0,0054;347441
deep learning;0,0045;0,0154;0,0068;236962
artificial intelligence;0,0112;0,0227;0,0093;1279696
smartwatch;0,0087;0,0068;0,0128;1107290
political correctness;0,0018;0,0107;0,0145;844103
blockchain;0,025;0,0095;0,0154;1487664
global heating;0,0044;0,0508;0,0178;15199
fleek;0,0584;0,0036;0,0189;3415178
alt-right;0,0156;0,0132;0,0189;1012209
deepfake;0,0155;0,0592;0,0189;20105
alt-left;0,0068;0,0143;0,0227;167251
Pizzagate;0,0052;0,0256;0,0256;257150
fidget spinner;0,0547;0,027;0,0356;75
covfefe;0,0141;0,03;0,0454;271953
birther;0,0276;0,0509;0,0534;670882
dotard;0,0923;0,0748;0,0995;75762
climate crisis;0,0724;0,0149;0,0153;501503
lifehack;0,0059;0,0126;0,0304;1053102
solopreneur;0,0095;0,0903;0,0316;282353
shareable;0,0653;0,0149;0,0234;255415
lituation;0,0884;0,0043;0,0029;172466
